City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Mahebourg,-20.41,57.7,73.4,78,75,9.17,MU,2020-11-06 03:00:00
70,Kamenka,51.32,42.77,43.0,95,87,10.29,RU,2020-11-06 03:03:44
71,Bambous Virieux,-20.34,57.76,75.99,78,75,9.17,MU,2020-11-06 03:03:45
72,Tateyama,34.98,139.87,64.99,68,75,9.17,JP,2020-11-06 03:01:53
73,Mogok,22.92,96.5,73.76,66,0,2.44,MM,2020-11-06 03:03:45
74,Oxford,51.75,-1.26,37.99,100,9,1.12,GB,2020-11-06 03:02:18
75,Nkowakowa,-23.89,30.29,55.4,93,0,6.93,ZA,2020-11-06 03:03:45
76,Busselton,-33.65,115.33,77.0,31,0,11.99,AU,2020-11-06 03:00:08
77,Gemena,3.25,19.77,68.65,98,100,1.95,CD,2020-11-06 03:03:45
78,Bachaquero,9.97,-71.15,80.08,78,57,2.06,VE,2020-11-06 03:03:45
79,Port Lincoln,-34.73,135.87,56.8,55,99,8.32,AU,2020-11-06 03:03:46
80,Ulladulla,-35.35,150.47,64.99,45,40,5.82,AU,2020-11-06 03:03:46
81,Keti Bandar,24.14,67.45,77.31,55,0,1.3,PK,2020-11-06 03:03:46
82,Tabriz,38.08,46.29,57.2,47,75,4.7,IR,2020-11-06 03:03:46
83,Vilcun,-38.65,-72.23,50.0,87,0,4.7,CL,2020-11-06 03:03:46
84,Atuona,-9.8,-139.03,78.84,75,10,20.69,PF,2020-11-06 03:03:46
85,Borogontsy,62.67,131.17,2.37,90,100,1.86,RU,2020-11-06 03:03:47
86,Boali,4.8,18.13,71.6,100,100,2.24,CF,2020-11-06 03:03:47
87,San Cristobal,7.77,-72.22,66.69,90,28,1.41,VE,2020-11-06 03:03:47
88,Caravelas,-17.71,-39.25,72.57,95,100,6.06,BR,2020-11-06 03:01:47
89,Bluff,-46.6,168.33,53.08,58,0,8.77,NZ,2020-11-06 03:02:59
90,Kavieng,-2.57,150.8,82.96,77,100,10.02,PG,2020-11-06 02:59:41
91,Esperance,-33.87,121.9,62.6,59,40,12.75,AU,2020-11-06 03:00:34
92,Katete,-0.78,29.75,62.11,86,100,2.62,UG,2020-11-06 03:03:48
93,Zapolyarnyy,69.42,30.81,35.6,90,99,17.22,RU,2020-11-06 03:03:48
94,Emilio Carranza,19.97,-96.61,71.47,80,64,9.95,MX,2020-11-06 03:03:48
95,Vanavara,60.34,102.28,-0.15,90,80,10.58,RU,2020-11-06 03:03:48
96,San Patricio,28.02,-97.52,70.0,72,1,6.93,US,2020-11-06 03:02:10
97,Longyan,25.11,117.02,79.0,49,0,3.0,CN,2020-11-06 03:03:48
98,Bam,29.11,58.36,56.39,31,0,1.74,IR,2020-11-06 03:01:55
99,Uberaba,-19.75,-47.93,67.55,45,0,3.02,BR,2020-11-06 02:59:24
100,Raudeberg,61.99,5.14,48.99,96,100,27.65,NO,2020-11-06 03:03:49
101,Kaitangata,-46.28,169.85,55.99,74,3,15.99,NZ,2020-11-06 03:03:49
102,Tuktoyaktuk,69.45,-133.04,-0.4,77,20,12.75,CA,2020-11-06 03:03:49
103,Lagos,6.58,3.75,77.18,91,100,1.81,NG,2020-11-06 03:02:24
104,Lavrentiya,65.58,-171.0,35.26,94,100,23.8,RU,2020-11-06 03:03:49
105,Thompson,55.74,-97.86,8.6,84,90,14.99,CA,2020-11-06 03:00:27
106,Boaco,12.47,-85.66,70.61,97,100,4.85,NI,2020-11-06 03:03:49
107,Tasiilaq,65.61,-37.64,30.2,74,94,10.29,GL,2020-11-06 03:03:07
108,Salalah,17.02,54.09,69.8,60,0,3.36,OM,2020-11-06 02:59:04
109,Perelyub,51.87,50.37,43.92,84,99,4.25,RU,2020-11-06 03:03:50
110,Socorro,31.65,-106.3,73.4,12,5,11.41,US,2020-11-06 03:03:50
111,Kodiak,57.79,-152.41,37.4,40,90,4.7,US,2020-11-06 03:03:50
112,Novyy Urengoy,66.08,76.63,6.98,95,100,15.3,RU,2020-11-06 03:03:50
113,Upernavik,72.79,-56.15,4.35,84,0,5.06,GL,2020-11-06 03:02:05
114,Ipira,-12.16,-39.74,72.91,90,74,8.34,BR,2020-11-06 03:03:50
115,Fukue,32.69,128.84,69.8,73,75,9.17,JP,2020-11-06 03:03:50
